なし　　,カランカラン
クリスタ,フラウ、お店の調子はどうだいって、、、　クリスタ　驚き
フラウ　,すみません！クリスタさん！ちょっとお店が忙しすぎで手が離せそうにないです！　フラウ困る
クリスタ,どうやらそのようだね、ちょっと繁盛しすぎじゃないかな？
フラウ　,プランターのお金は今度持っていくのでちょっと手伝ってください　　　　　フラウ困る
クリスタ,ごめんね、人混みは苦手なんだ						クリスタ笑顔
クリスタ,でもよかったじゃないか、こんなに繁盛して
フラウ　,そんな、他人事みたいに言わないでください
フラウ　,?盛しすぎてプランターの数も足りないですよ～
クリスタ,そういえばプランターのお金はいらないよ　　　　　　　　クリスタ　普通
クリスタ,あれは植物の成長を促す代わりに
　　　　 人の成長度合いが低いと呪いをかける代物だったんだ
クリスタ,だから稼いだお金は好きに使いな
フラウ　,そんな！いいんですか！
クリスタ,アハハ、友達の孫からお金は取れないよ			クリスタ　笑顔
フラウ　,じゃあ今度ゆっくりお茶にでも行きましょう
フラウ　,おばあちゃんも一緒に連れていきます
フラウ　,もちろん、私のおごりで!
なし　　,フラウの頑張りでお店は大人気になり、今では
	 そこで花束を買った人は幸せになるといわれています
なし　　,お　わ　り　（ハッピーエンド　フラウの花束）
