なし　　,カランカラン
クリスタ,フラウ、今日が返済の最終日だがどうだい？		クリスタ通常
フラウ  ,、、、あっ、シンディさん				フラウ困る		
シンディ,あー、その調子だともしかして、、、
フラウ　,ごべんなざい、おがね集まんながっだです			
クリスタ,お金はいいんだけど、その呪いのほうはどうにもならないかも　クリスタ困る
フラウ　,えー！！じゃあ私もしかして一生タンスに小指をぶつける人生ですか！？　　フラウ　びっくり
フラウ　,そんなぁ、アイタッ！ふぇ～タンスが追いかけてくるよ～			フラウ　困る
フラウ　,アイタッ！アイタッ！地味に痛いよ～
クリスタ,私の友達に解呪の魔法に詳しい魔女がいるから今度紹介するよ クリスタ　通常
　　　　 今回稼いだお金はその解呪費用に使うといいよ
フラウ　,もしかしてそれまで私このままですか？
クリスタ,まー頑張りな						 　クリスタ　笑顔
フラウ　,わーん
なし　　,フラウは一所懸命に頑張りましたが残念ながら100万ラウをためることができませんでした
なし　　,そこから解呪までの一週間ほどフラウは花屋をいとなみながらも、小指の痛みと戦うのでした
なし　　,お　わ　り　（バッドエンド　タンスの呪い）
